timestamp,ax,ay,az,gx,gy,gz,activity
835575, 0.504639, 0.899292, -0.034424, 10.559080, 59.875480, -57.739250,Brisk walking
835595, 0.620484, 0.888184, 0.012695, 14.282224, 63.842760, -49.499500,Brisk walking
835615, 0.696533, 0.856568, 0.049927, 12.207030, 55.419910, -39.306640,Brisk walking
835635, 0.722168, 0.855103, 0.034180, 9.033204, 40.466300, -27.282710,Brisk walking
835655, 0.682495, 0.852661, -0.022827, 2.990722, 29.846190, -14.465330,Brisk walking
835675, 0.680786, 0.867920, -0.051758, -5.432128, 21.667476, -2.136231,Brisk walking
835695, 0.696411, 0.904419, -0.034912, -13.366696, 16.479492, 9.460450,Brisk walking
835715, 0.694580, 0.939575, 0.007813, -16.845708, 9.033204, 19.592290,Brisk walking
835735, 0.672730, 0.960327, 0.022339, -18.188480, -0.427246, 27.709956,Brisk walking
835755, 0.639771, 0.983398, 0.006104, -18.798830, -9.460450, 33.752440,Brisk walking
835775, 0.612671, 1.121460, -0.000366, -27.832030, -22.827140, 45.593250,Brisk walking
835795, 0.619873, 1.341431, 0.008301, -31.921380, -29.052730, 57.495110,Brisk walking
835815, 0.579346, 1.406860, 0.037720, -23.376460, -34.301760, 65.124520,Brisk walking
835835, 0.544800, 1.356324, 0.053589, -19.531250, -36.010750, 68.420420,Brisk walking
835855, 0.530518, 1.332276, 0.042480, -19.409180, -36.804200, 75.134300,Brisk walking
835875, 0.485962, 1.199585, 0.051514, -18.615724, -33.996590, 84.838860,Brisk walking
835895, 0.456177, 1.050904, 0.052124, -17.028810, -36.438000, 85.388160,Brisk walking
835915, 0.370239, 0.926636, 0.053589, -17.517090, -28.198240, 84.655740,Brisk walking
835935, 0.408936, 0.865723, 0.088501, -22.705070, -23.986810, 87.890600,Brisk walking
835955, 0.420898, 0.905518, 0.124512, -28.930660, -29.785150, 94.848600,Brisk walking
835975, 0.385376, 0.958496, 0.145020, -29.357908, -36.682140, 97.717260,Brisk walking
835995, 0.329590, 0.903442, 0.141480, -21.972650, -42.968740, 92.895500,Brisk walking
