timestamp,ax,ay,az,gx,gy,gz,activity
4560734, -0.403442, -0.525513, -0.801514, 8.056642, 39.001470, -4.272462,Cycling
4560754, -0.508301, -0.486938, -0.668579, 3.662109, 24.291990, -2.319336,Cycling
4560774, -0.292114, -0.405884, -0.680054, 8.178714, 19.775390, -3.967285,Cycling
4560794, -0.297363, -0.308594, -0.933716, 11.230468, 3.662109, 0.305176,Cycling
4560814, -0.157959, -0.498779, -0.955322, 8.972170, 7.751464, 0.000000,Cycling
4560834, 0.050903, -0.338501, -0.808960, 5.859374, -13.427732, -3.723144,Cycling
4560854, -0.156616, -0.439087, -0.946289, 9.521484, -16.784670, -1.342773,Cycling
4560874, -0.031494, -0.427734, -0.767578, 1.159668, -20.812980, -4.333496,Cycling
4560894, -0.178101, -0.283691, -0.953491, 1.953124, -24.047850, -8.666994,Cycling
4560914, -0.112671, -0.442383, -0.984253, -5.737304, -26.306150, -11.962890,Cycling
4560934, -0.091431, -0.321533, -0.996948, -9.216310, -35.644540, -14.099120,Cycling
4560954, -0.044556, -0.121460, -1.049438, -10.070800, -30.517570, -14.953610,Cycling
4560974, -0.209473, -0.479248, -0.847534, -5.615234, -32.348640, -14.709470,Cycling
4560994, -0.314331, -0.249634, -0.920654, -4.699708, -26.000970, -3.845214,Cycling
4561014, -0.314087, -0.173706, -1.109131, -5.371092, -12.268064, -0.854492,Cycling
4561034, 0.031738, -0.132202, -0.925659, -6.286620, -11.840818, -6.225584,Cycling
4561054, -0.262207, -0.220703, -1.034790, -3.173828, -10.253904, -12.329100,Cycling
4561074, -0.212158, -0.160034, -1.022095, -0.976562, -8.056642, -10.742184,Cycling
4561094, -0.350952, -0.325684, -1.015381, -3.479003, 4.211426, -8.361816,Cycling
4561114, -0.436890, -0.381836, -0.883057, -2.258301, -4.150392, -4.821778,Cycling
4561134, -0.396729, -0.286987, -0.891236, -2.380371, -3.967285, -4.821778,Cycling
4561154, -0.404053, -0.411133, -0.859131, -6.958006, -0.793457, -6.591796,Cycling
4561174, -0.328369, -0.159180, -0.861572, -4.882814, -6.958006, -1.403808,Cycling
4561194, -0.366821, -0.263428, -0.915772, -5.554198, 0.854492, -3.417968,Cycling
4561214, -0.247803, -0.265259, -0.871216, -5.432128, -7.019042, -5.371092,Cycling
4561234, -0.227661, -0.213623, -0.903198, -5.615234, -1.403808, -7.019042,Cycling
4561254, -0.272217, -0.234741, -1.022705, -5.371092, 0.854492, -9.399414,Cycling
4561274, -0.120728, -0.283325, -0.990967, -5.615234, 2.136231, -9.155274,Cycling
4561294, -0.113281, -0.308960, -0.961792, -9.094240, 7.263182, -6.469726,Cycling
4561314, -0.138550, -0.097168, -1.173828, -14.038084, 8.728030, -2.624511,Cycling
4561334, -0.224976, -0.258057, -0.892944, -6.225584, 21.911620, -9.277344,Cycling
4561354, -0.278442, -0.200928, -1.000488, 2.807617, 6.225584, -7.019042,Cycling
4561374, -0.422241, -0.279297, -1.138062, -8.483890, 32.226570, 7.080076,Cycling
4561394, -0.140137, -0.093506, -0.960327, -6.103514, 20.202630, 5.187988,Cycling
4561414, -0.199707, -0.110962, -0.931152, -5.737304, 12.512204, 0.305176,Cycling
4561434, -0.312988, -0.084717, -0.972290, -4.577638, 13.061520, -1.098633,Cycling
4561454, -0.242432, -0.256592, -0.789917, -7.324218, 11.413570, -5.493162,Cycling
4561474, -0.406860, -0.266846, -0.776856, -5.981444, 1.953124, -7.263182,Cycling
4561494, -0.280151, -0.220093, -0.990356, -11.718748, 9.033204, -4.089356,Cycling
4561514, -0.181397, -0.267212, -0.952515, -10.986324, 9.521484, -3.662109,Cycling
4561534, -0.099243, -0.364258, -0.780029, -3.967285, -7.385252, -8.972170,Cycling
4561554, -0.228272, -0.189697, -1.041504, -1.708984, -3.723144, -1.647949,Cycling
4561574, -0.130371, -0.161621, -1.018188, -1.525878, 0.549316, 0.549316,Cycling
4561594, -0.177734, -0.275635, -0.929444, 0.976562, -1.647949, -3.112792,Cycling
4561614, -0.235596, -0.396606, -0.858276, -1.159668, -5.065916, -4.211426,Cycling
4561634, -0.259766, -0.244507, -0.870117, 0.671386, -12.878416, -4.089356,Cycling
4561654, -0.358154, -0.259155, -0.888672, 1.098633, -11.901852, -0.976562,Cycling
4561674, -0.315918, -0.331543, -0.860474, 3.417968, -13.183590, -2.014160,Cycling
4561694, -0.264893, -0.497803, -0.846192, 0.000000, -17.700200, -5.187988,Cycling
4561714, -0.212036, -0.275146, -0.833374, -1.586914, -26.916500, -2.746581,Cycling
4561734, -0.312988, -0.182373, -0.910522, -1.220704, -23.864740, -2.197266,Cycling
4561754, -0.172363, -0.245117, -0.889038, -1.342773, -18.737796, -5.310058,Cycling
4561774, -0.314941, -0.389648, -0.968384, -3.356933, -14.526364, -7.568358,Cycling
4561794, -0.208374, -0.438232, -0.824097, -5.004884, -23.986810, -7.202148,Cycling
4561814, -0.344605, -0.232544, -0.914551, -6.347656, -23.986810, -1.708984,Cycling
4561834, -0.285278, -0.173706, -0.914429, -7.812498, -26.489250, -6.225584,Cycling
4561854, -0.263672, -0.189209, -0.951172, -10.620116, -24.047850, -14.953610,Cycling
4561874, -0.318359, -0.324951, -0.879150, -10.070800, -26.245110, -18.859868,Cycling
4561894, -0.339233, -0.259766, -0.927856, -11.596676, -19.653320, -13.854978,Cycling
4561914, -0.165161, -0.070435, -0.947022, -12.451170, -12.817380, -11.230468,Cycling
4561934, -0.088379, 0.177734, -1.163696, -11.962890, -7.263182, -11.779784,Cycling
4562014, -0.165161, 0.104858, -1.071900, -3.906249, 26.611320, -0.183105,Cycling
4562034, -0.307495, 0.100464, -1.194092, -2.929687, 36.193860, 5.004884,Cycling
4562154, -0.265381, 0.008911, -1.007446, -0.061035, 53.588860, 21.118160,Cycling
4562174, -0.281372, 0.008179, -0.922119, 6.713866, 48.217760, 20.568840,Cycling
4562194, -0.205933, -0.068726, -0.979980, 10.742184, 51.635740, 17.456060,Cycling
4562214, -0.276489, -0.106079, -0.956787, 17.578130, 42.114250, 19.897460,Cycling
4562234, -0.153320, -0.146729, -0.877075, 22.338860, 40.832510, 22.277830,Cycling
