timestamp,ax,ay,az,gx,gy,gz,activity
2608831, -0.519898, 0.220337, -0.828858, -2.868652, -1.098633, -0.305176,Eating with Spoon
2608851, -0.516236, 0.225952, -0.829468, -2.807617, -0.549316, -1.831054,Eating with Spoon
2608871, -0.509278, 0.230347, -0.829224, -2.685546, -1.098633, -2.685546,Eating with Spoon
2608891, -0.513794, 0.228516, -0.831421, -1.892090, -0.793457, -2.868652,Eating with Spoon
2608911, -0.509400, 0.220093, -0.833252, -1.647949, 0.610352, -1.403808,Eating with Spoon
2608931, -0.514038, 0.236206, -0.843262, -0.732422, 1.770019, 0.000000,Eating with Spoon
2608951, -0.468262, 0.212280, -0.811035, 1.708984, -0.976562, -4.638672,Eating with Spoon
2608971, -0.518799, 0.204956, -0.851074, 0.732422, -5.310058, -2.075196,Eating with Spoon
2608991, -0.534790, 0.238525, -0.837769, -0.793457, 1.342773, 3.112792,Eating with Spoon
2609011, -0.497192, 0.243286, -0.822998, 1.708984, 0.000000, 1.220704,Eating with Spoon
2609031, -0.502930, 0.208984, -0.812866, 2.990722, -1.831054, -3.112792,Eating with Spoon
2609051, -0.526489, 0.200684, -0.842163, 1.281738, -2.014160, -2.807617,Eating with Spoon
2609071, -0.531982, 0.219360, -0.829712, -0.976562, 0.793457, 2.197266,Eating with Spoon
2609091, -0.508667, 0.227295, -0.811524, 0.488281, 0.427246, 1.098633,Eating with Spoon
2609111, -0.512329, 0.203980, -0.818848, 0.976562, -0.976562, -2.197266,Eating with Spoon
2609131, -0.531006, 0.217529, -0.840210, -0.793457, 0.488281, -1.525878,Eating with Spoon
2609151, -0.498413, 0.240234, -0.836060, 0.427246, 2.990722, -0.366211,Eating with Spoon
2609171, -0.488037, 0.222290, -0.826172, 0.732422, 0.244141, -1.647949,Eating with Spoon
2609191, -0.494751, 0.218750, -0.838623, -0.061035, -2.929687, -3.356933,Eating with Spoon
2609211, -0.520508, 0.218384, -0.840454, -1.098633, -2.014160, -0.854492,Eating with Spoon
2609231, -0.502930, 0.226685, -0.824707, -0.122070, -1.403808, -0.061035,Eating with Spoon
2609251, -0.506104, 0.208374, -0.819824, 0.976562, -2.319336, -0.732422,Eating with Spoon
2609271, -0.518188, 0.208374, -0.837769, 0.366211, -1.159668, 0.122070,Eating with Spoon
2609291, -0.517822, 0.225098, -0.839356, 0.000000, 0.183105, 2.197266,Eating with Spoon
2609311, -0.497681, 0.230591, -0.824463, 0.732422, -0.671386, 2.014160,Eating with Spoon
2609331, -0.512695, 0.214844, -0.832154, 1.647949, -1.770019, 0.061035,Eating with Spoon
2609351, -0.516480, 0.220947, -0.838257, 1.220704, -1.403808, 0.000000,Eating with Spoon
2609371, -0.511841, 0.228638, -0.826660, 1.525878, -0.122070, 0.366211,Eating with Spoon
2609391, -0.495606, 0.215210, -0.830078, 2.014160, -1.892090, -0.610352,Eating with Spoon
2609411, -0.517700, 0.213623, -0.831177, 1.586914, -2.075196, -0.610352,Eating with Spoon
2609431, -0.509155, 0.223389, -0.804199, 0.244141, -1.953124, 0.732422,Eating with Spoon
2609451, -0.513672, 0.210449, -0.807373, -0.244141, -1.953124, 1.342773,Eating with Spoon
2609471, -0.511108, 0.172485, -0.831909, -4.211426, -4.089356, 0.549316,Eating with Spoon
2609491, -0.497314, 0.202759, -0.854736, -5.798338, -8.178714, 1.647949,Eating with Spoon
2609511, -0.478638, 0.230957, -0.857788, -4.516602, -10.314940, 2.746581,Eating with Spoon
2609531, -0.505615, 0.237183, -0.840698, -3.295898, -10.925290, 2.868652,Eating with Spoon
2609551, -0.543091, 0.253784, -0.824951, -2.380371, -8.850100, 2.197266,Eating with Spoon
2609571, -0.553223, 0.278076, -0.825928, 0.244141, -3.906249, 1.281738,Eating with Spoon
2609591, -0.546387, 0.257690, -0.837036, 5.249022, -1.831054, -2.319336,Eating with Spoon
2609611, -0.591064, 0.228149, -0.832886, 6.591796, 3.234863, -4.150392,Eating with Spoon
2609631, -0.539429, 0.261353, -0.806396, 7.080076, 6.774902, -5.126952,Eating with Spoon
2609651, -0.547486, 0.257813, -0.849121, 7.995604, 10.681150, -5.065916,Eating with Spoon
2609671, -0.534424, 0.221558, -0.888062, 6.286620, 14.282224, -4.028321,Eating with Spoon
2609691, -0.512818, 0.222534, -0.870117, 3.540038, 12.756344, -1.464844,Eating with Spoon
2609711, -0.531616, 0.239746, -0.828247, 2.075196, 11.230468, 1.708984,Eating with Spoon
2609731, -0.509644, 0.258301, -0.827393, -0.183105, 14.221190, 4.577638,Eating with Spoon
2609751, -0.549194, 0.270142, -0.850342, 0.915527, 24.963376, 5.249022,Eating with Spoon
2609771, -0.596436, 0.270020, -0.861572, -1.098633, 38.391120, 4.516602,Eating with Spoon
2609791, -0.488037, 0.357544, -0.921875, -4.089356, 67.932140, 17.822270,Eating with Spoon
2609811, -0.419922, 0.344116, -0.921997, -8.361816, 76.477060, 13.793944,Eating with Spoon
2609831, -0.357178, 0.313232, -0.911011, -9.521484, 61.767570, 14.953610,Eating with Spoon
2609851, -0.396729, 0.321533, -0.899048, -8.605960, 51.391590, 17.456060,Eating with Spoon
2609871, -0.431152, 0.300659, -0.896851, -6.164550, 54.199210, 13.610836,Eating with Spoon
2609891, -0.410400, 0.285278, -0.921753, -2.441407, 68.847660, 8.422854,Eating with Spoon
2609911, -0.343628, 0.258179, -0.949341, 3.112792, 78.979500, 7.995604,Eating with Spoon
2609931, -0.327637, 0.240845, -0.957520, 13.305660, 76.660160, 7.385252,Eating with Spoon
2609951, -0.314575, 0.184937, -0.941406, 20.507810, 68.420420, 4.272462,Eating with Spoon
2609971, -0.264404, 0.172852, -0.870239, 21.179192, 60.729970, -1.281738,Eating with Spoon
2609991, -0.252197, 0.154907, -0.918945, 26.550290, 56.884760, -5.126952,Eating with Spoon
2610011, -0.187622, 0.065430, -0.964600, 23.803708, 46.630850, -7.141112,Eating with Spoon
2610031, -0.073242, 0.080444, -0.795898, 19.897460, 15.991210, 1.953124,Eating with Spoon
2610051, 0.080688, 0.042969, -0.985840, 4.211426, -36.865240, 16.418460,Eating with Spoon
2610071, -0.173218, 0.001343, -1.186768, 1.220704, -75.561540, 19.287110,Eating with Spoon
2610091, -0.368286, 0.040649, -1.171143, -9.948730, -72.021500, 18.920900,Eating with Spoon
2610111, -0.075195, 0.117432, -1.044434, -16.845708, -99.487300, 12.634276,Eating with Spoon
2610131, -0.229492, 0.202515, -0.958374, -13.183590, -127.136200, 12.756344,Eating with Spoon
2610151, -0.272949, 0.211548, -0.986938, -13.122556, -143.432640, 19.287110,Eating with Spoon
2610171, -0.146240, 0.213989, -0.985230, -15.502928, -178.771920, 14.343260,Eating with Spoon
2610191, -0.350830, 0.257324, -0.972656, -12.145992, -205.566360, 14.038084,Eating with Spoon
2610211, -0.488403, 0.258057, -0.897705, -9.460450, -216.491680, 17.517090,Eating with Spoon
2610231, -0.540772, 0.256836, -0.808838, -7.446288, -230.834900, 22.888180,Eating with Spoon
2610251, -0.821289, 0.291016, -0.735596, -4.699708, -241.699200, 41.320790,Eating with Spoon
2610271, -0.948608, 0.295654, -0.707642, -2.136231, -226.928700, 47.668440,Eating with Spoon
2610291, -1.072388, 0.349121, -0.665650, 0.549316, -198.486300, 56.884760,Eating with Spoon
2610311, -1.073853, 0.342896, -0.566895, 6.835936, -172.851500, 62.255850,Eating with Spoon
2610331, -1.062988, 0.367188, -0.455078, 7.873534, -151.672400, 71.228040,Eating with Spoon
2610351, -1.129761, 0.440674, -0.407593, 13.549804, -124.633760, 78.247080,Eating with Spoon
2610371, -1.156006, 0.421387, -0.398926, 19.836430, -92.651360, 82.885720,Eating with Spoon
2610391, -1.092774, 0.419190, -0.387451, 19.470220, -61.340320, 87.829560,Eating with Spoon
2610411, -1.011719, 0.480103, -0.352661, 20.996090, -41.259760, 92.590300,Eating with Spoon
2610431, -0.969360, 0.497314, -0.322388, 25.634760, -21.301268, 94.055160,Eating with Spoon
2610451, -0.964478, 0.468018, -0.276611, 27.648920, -1.159668, 94.116200,Eating with Spoon
2610471, -0.728760, 0.497681, -0.283203, 25.512690, 11.596676, 97.290020,Eating with Spoon
2610491, -0.755249, 0.501709, -0.307495, 29.724120, 10.498044, 97.167960,Eating with Spoon
2610511, -0.788574, 0.504639, -0.290649, 29.113768, 22.338860, 95.886200,Eating with Spoon
2610531, -0.733032, 0.476685, -0.236694, 31.066890, 39.489750, 95.764140,Eating with Spoon
2610551, -0.567749, 0.451782, -0.232178, 26.733390, 44.372550, 97.900360,Eating with Spoon
2610571, -0.478149, 0.503906, -0.274048, 20.812980, 39.428720, 92.285140,Eating with Spoon
2610591, -0.488648, 0.526978, -0.282959, 25.329584, 37.170420, 90.759260,Eating with Spoon
