timestamp,ax,ay,az,gx,gy,gz,activity
1072828, 0.722900, 0.085449, 0.194092, -43.640120, -104.431120, -22.277830,Jogging
1072848, 0.617554, 0.165405, 0.110230, -45.776360, -99.060040, -32.531740,Jogging
1072868, 0.563599, 0.254639, 0.052612, -42.175280, -91.186500, -49.743640,Jogging
1072888, 0.493042, 0.344971, 0.061523, -31.127924, -80.200200, -74.462900,Jogging
1072908, 0.211792, 0.438965, 0.227783, -18.432620, -50.476060, -122.375480,Jogging
1072928, 0.144653, 0.555054, 0.276611, -16.052250, -33.996590, -139.709500,Jogging
1072948, 0.273071, 0.659546, 0.157105, -13.916012, -23.193352, -149.353080,Jogging
1072968, 0.344849, 0.740723, 0.062500, -14.465330, -10.253904, -169.677700,Jogging
1072988, 0.357788, 0.880005, 0.032104, -3.540038, 22.338860, -192.626900,Jogging
1073008, 0.773194, 0.912476, 0.095947, -2.197266, 18.432620, -201.843200,Jogging
1073028, 0.934326, 0.952393, -0.029053, 5.249022, -36.804200, -181.396440,Jogging
1073048, 0.900391, 0.900146, -0.190674, 4.882814, -69.458020, -136.291500,Jogging
1073068, 0.879883, 1.009766, -0.140991, 3.906249, -36.743170, -125.427240,Jogging
1073088, 0.692627, 1.001587, 0.000244, 32.714850, 70.861840, -99.304180,Jogging
1073108, 0.802734, 0.925537, 0.173584, 31.494136, 181.762680, -74.829100,Jogging
1073128, 1.329224, 0.926758, 0.066406, 51.818840, 261.779800, -20.874020,Jogging
1073148, 1.498169, 0.772949, 0.081421, 64.392100, 230.773900, 12.084960,Jogging
1073168, 1.552368, 0.626709, 0.088623, 61.157220, 192.993100, 33.874520,Jogging
1073188, 1.612061, 0.672730, 0.046265, 48.889150, 147.766160, 42.114250,Jogging
1073208, 1.747803, 0.709106, -0.013672, 42.358390, 97.839340, 56.396480,Jogging
1073228, 1.960572, 0.727417, -0.065918, 36.315920, 47.180160, 73.120140,Jogging
1073248, 1.943116, 0.634155, -0.105957, 32.714850, 14.770504, 81.298800,Jogging
1073268, 1.785156, 0.448730, -0.073730, 25.085448, -5.310058, 81.359840,Jogging
1073288, 1.652100, 0.267212, -0.087280, 7.202148, -21.179192, 76.782240,Jogging
1073308, 1.486328, 0.220215, -0.109009, -11.230468, -38.513190, 75.256360,Jogging
1073328, 1.381104, 0.209473, -0.104736, -30.944820, -66.223160, 76.843260,Jogging
1073348, 1.077637, 0.189453, -0.153809, -40.466300, -94.177240, 71.167000,Jogging
1073368, 0.915283, 0.187256, -0.086792, -32.958990, -100.830060, 60.180660,Jogging
1073388, 0.607544, 0.030151, -0.066528, -24.536130, -92.041000, 57.800280,Jogging
1073408, 0.732300, -0.101563, -0.101807, -37.719730, -85.876460, 54.565420,Jogging
1073428, 0.775269, -0.049683, -0.216064, -34.851080, -98.510720, 64.392100,Jogging
1073448, 0.522339, -0.024780, -0.107300, -43.640120, -84.716780, 97.229000,Jogging
1073468, 0.441650, -0.117920, 0.046265, -27.221676, 16.662600, 141.479500,Jogging
1073488, 0.726318, -0.055664, 0.172974, -39.123540, 146.667500, 186.889600,Jogging
1073508, 1.299072, 0.048584, 0.310059, -52.185050, 278.320400, 241.333000,Jogging
1073528, 2.433472, -0.020508, 0.666748, -109.008760, 326.843200, 285.461500,Jogging
1073548, 3.578980, 0.187256, 0.744629, -157.714840, 224.914500, 288.940500,Jogging
1073568, 2.566651, 0.590942, 0.451904, -208.679160, -99.243160, 262.085000,Jogging
1073588, 1.831910, 0.939942, 0.483154, -188.476500, -236.206000, 199.890100,Jogging
1073608, 0.986084, 0.981323, 0.644776, -156.982440, -319.397000, 131.897000,Jogging
1073628, 0.154541, 0.834717, 0.621704, -102.722160, -324.401800, 53.833000,Jogging
1073648, -0.940796, 0.549194, 0.526978, -68.359400, -264.404400, -9.582520,Jogging
1073668, -1.853760, 0.547608, 0.560425, -54.992660, -128.173840, -64.819340,Jogging
1073688, -1.475952, 0.701050, 0.515625, -27.709956, 25.085448, -126.525860,Jogging
1073708, -0.727295, 0.667358, 0.322998, 7.446288, 70.373540, -187.072700,Jogging
1073728, -0.199097, 0.582520, 0.111816, 17.578130, 27.954100, -233.642520,Jogging
