timestamp,ax,ay,az,gx,gy,gz,activity
2090322, -0.919190, 0.217285, 0.217407, 1.647949, 27.832030, 3.356933,Phone Interaction
2090342, -0.895752, 0.221314, 0.211670, 2.197266, 23.132320, 4.150392,Phone Interaction
2090362, -0.918091, 0.212158, 0.209106, 3.723144, 14.404296, 4.211426,Phone Interaction
2090382, -0.940064, 0.205322, 0.177490, 3.906249, 9.887696, 3.417968,Phone Interaction
2090402, -0.961670, 0.204102, 0.171143, 2.746581, 8.544924, 2.319336,Phone Interaction
2090422, -0.948608, 0.205566, 0.181519, 2.563476, 5.920409, 0.976562,Phone Interaction
2090442, -0.948975, 0.198120, 0.188232, 1.342773, 6.225584, 0.549316,Phone Interaction
2090462, -0.936646, 0.207520, 0.178223, 0.732422, 8.483890, 0.854492,Phone Interaction
2090482, -0.907593, 0.206543, 0.158081, 0.549316, 6.347656, 1.159668,Phone Interaction
2090502, -0.911743, 0.206665, 0.152588, 0.671386, 2.807617, 1.953124,Phone Interaction
2090522, -0.937866, 0.209229, 0.158814, 0.488281, 0.488281, 2.258301,Phone Interaction
2090542, -0.964478, 0.213135, 0.159058, -0.122070, 3.845214, 1.403808,Phone Interaction
2090562, -0.966431, 0.213623, 0.160400, -1.098633, 7.690428, 1.037598,Phone Interaction
2090582, -0.931763, 0.220337, 0.153320, -1.342773, 9.094240, 1.098633,Phone Interaction
2090602, -0.930908, 0.224121, 0.151245, 0.244141, 4.638672, 1.159668,Phone Interaction
2090622, -0.954590, 0.230957, 0.148682, 0.915527, 2.563476, 1.037598,Phone Interaction
2090642, -0.968506, 0.229004, 0.149170, 2.380371, 2.197266, 1.037598,Phone Interaction
2090662, -0.965332, 0.226440, 0.157227, 1.525878, 3.662109, 0.488281,Phone Interaction
2090682, -0.926880, 0.238403, 0.171021, 1.708984, 4.089356, 0.183105,Phone Interaction
2090702, -0.909790, 0.230713, 0.195190, 3.417968, -0.610352, -2.197266,Phone Interaction
2090722, -0.935547, 0.245728, 0.192139, 4.089356, -0.610352, -2.441407,Phone Interaction
2090742, -0.953003, 0.251343, 0.168213, 4.394532, 2.685546, -2.014160,Phone Interaction
2090762, -0.972778, 0.239990, 0.134277, 3.845214, 8.544924, 2.075196,Phone Interaction
2090782, -0.973877, 0.237915, 0.146973, 3.173828, 9.155274, 2.441407,Phone Interaction
2090802, -0.949951, 0.225708, 0.160767, 3.662109, 7.568358, 1.831054,Phone Interaction
2090822, -0.940552, 0.220093, 0.163452, 3.051757, 4.882814, 0.549316,Phone Interaction
2090842, -0.952148, 0.229370, 0.149048, 3.295898, 3.662109, 0.122070,Phone Interaction
2090862, -0.948608, 0.225586, 0.132690, 2.685546, 2.746581, 1.037598,Phone Interaction
2090882, -0.954834, 0.226807, 0.136841, 2.807617, -0.488281, 1.281738,Phone Interaction
2090902, -0.968628, 0.221924, 0.141846, 1.892090, 0.549316, 3.784179,Phone Interaction
2090942, -0.941162, 0.228516, 0.135376, 1.892090, 0.732422, 3.601074,Phone Interaction
2090962, -0.953003, 0.229858, 0.124268, 2.075196, 0.122070, 2.807617,Phone Interaction
2090982, -0.950318, 0.229980, 0.120483, 2.441407, -0.732422, 2.319336,Phone Interaction
2091002, -0.964600, 0.231079, 0.123169, 1.525878, 0.122070, 3.356933,Phone Interaction
2091022, -0.953980, 0.239746, 0.113647, 0.427246, 1.586914, 3.295898,Phone Interaction
2091042, -0.939820, 0.247437, 0.112915, 1.220704, 0.610352, 3.112792,Phone Interaction
2091062, -0.936524, 0.249512, 0.124634, 1.953124, -0.610352, 3.112792,Phone Interaction
2091082, -0.930054, 0.242310, 0.128174, 1.892090, -1.342773, 3.540038,Phone Interaction
2091102, -0.935547, 0.240601, 0.122314, 2.319336, -2.685546, 3.234863,Phone Interaction
2091122, -0.966431, 0.242554, 0.115234, 1.953124, -2.014160, 2.929687,Phone Interaction
2091142, -0.983765, 0.255859, 0.125122, 1.525878, 1.892090, 3.356933,Phone Interaction
2091162, -0.979858, 0.260620, 0.119263, 2.319336, 5.920409, 5.126952,Phone Interaction
2091182, -0.976685, 0.265869, 0.114868, 2.197266, 9.887696, 5.187988,Phone Interaction
2091202, -0.972290, 0.268433, 0.142334, 2.624511, 13.366696, 4.455568,Phone Interaction
2091222, -0.953858, 0.282227, 0.144287, 3.601074, 12.207030, 3.051757,Phone Interaction
2091242, -0.944336, 0.283691, 0.115356, 3.845214, 10.986324, 1.708984,Phone Interaction
2091262, -0.915405, 0.268433, 0.084839, 3.417968, 11.352536, 0.732422,Phone Interaction
2091282, -0.908081, 0.259155, 0.086548, 1.770019, 11.047360, 1.525878,Phone Interaction
2091302, -0.920654, 0.272949, 0.106567, 1.098633, 8.361816, 2.075196,Phone Interaction
2091322, -0.913452, 0.287232, 0.109741, 2.441407, 4.516602, 1.037598,Phone Interaction
2091342, -0.924194, 0.280762, 0.106079, 3.479003, 0.183105, -0.244141,Phone Interaction
2091362, -0.945312, 0.280884, 0.092041, 3.356933, -1.770019, -1.647949,Phone Interaction
2091382, -0.960327, 0.267700, 0.094849, 2.807617, -0.549316, -1.037598,Phone Interaction
2091402, -0.954834, 0.274292, 0.101074, 0.976562, 0.000000, -0.244141,Phone Interaction
2091422, -0.960449, 0.277466, 0.094116, 2.380371, -1.037598, -0.793457,Phone Interaction
