timestamp,ax,ay,az,gx,gy,gz,activity
2392119, -0.248169, 0.167969, -0.949585, -33.813480, -15.014646, -5.554198,Pick and Place
2392139, -0.302612, 0.222412, -0.933594, -30.761716, -20.507810, -4.150392,Pick and Place
2392159, -0.326782, 0.244995, -0.898071, -28.015130, -19.165040, -7.019042,Pick and Place
2392179, -0.304077, 0.260864, -0.898438, -25.878900, -20.141600, -9.277344,Pick and Place
2392199, -0.300903, 0.265381, -0.922486, -27.221676, -27.465816, -4.089356,Pick and Place
2392219, -0.333252, 0.296875, -0.910400, -28.503410, -40.954580, -0.549316,Pick and Place
2392239, -0.387573, 0.313355, -0.867310, -26.367180, -55.297840, -1.220704,Pick and Place
2392259, -0.481567, 0.318848, -0.829712, -21.362300, -56.518540, -2.197266,Pick and Place
2392279, -0.535767, 0.310913, -0.846924, -20.080560, -44.311520, -0.427246,Pick and Place
2392299, -0.483276, 0.293091, -0.875000, -20.874020, -39.978040, 5.798338,Pick and Place
2392319, -0.433838, 0.309204, -0.875488, -20.874020, -57.189930, 15.014646,Pick and Place
2392339, -0.482666, 0.387207, -0.800904, -16.235352, -79.772960, 16.601568,Pick and Place
2392359, -0.486206, 0.426514, -0.725708, -10.314940, -88.195780, 15.258788,Pick and Place
2392379, -0.521362, 0.431641, -0.704346, -1.037598, -80.383280, 13.549804,Pick and Place
2392399, -0.630493, 0.402832, -0.737793, 5.676268, -54.504380, 7.995604,Pick and Place
2392419, -0.621704, 0.300537, -0.743530, 12.207030, -27.343748, 5.065916,Pick and Place
2392439, -0.394409, 0.232300, -0.703736, 11.413570, -29.052730, 5.615234,Pick and Place
2392459, -0.349487, 0.246704, -0.690918, 13.793944, -56.579580, 3.906249,Pick and Place
2392479, -0.458008, 0.217896, -0.701050, 18.188480, -75.134300, -1.831054,Pick and Place
2392499, -0.582398, 0.174316, -0.709473, 20.996090, -77.331540, -10.437010,Pick and Place
2392519, -0.562622, 0.130371, -0.681274, 22.094720, -71.594240, -16.784670,Pick and Place
2392539, -0.576538, 0.111938, -0.668091, 22.888180, -67.321800, -17.822270,Pick and Place
2392559, -0.836914, 0.074951, -0.673218, 22.949216, -23.437492, -20.507810,Pick and Place
2392579, -0.831177, 0.036255, -0.739990, 18.310550, 22.521970, -14.831540,Pick and Place
2392599, -0.703003, 0.030884, -0.773071, 11.230468, 31.127924, -6.042480,Pick and Place
2392619, -0.659424, 0.105225, -0.804810, 7.385252, 16.113284, 1.770019,Pick and Place
2392639, -0.733276, 0.036011, -0.844482, 0.976562, -2.563476, 6.347656,Pick and Place
