timestamp,ax,ay,az,gx,gy,gz,activity
1667319, -0.218872, -0.654907, -0.700318, 2.624511, 2.197266, 1.037598,Sitting
1667339, -0.228882, -0.667480, -0.709595, 3.356933, 0.366211, 0.183105,Sitting
1667359, -0.249268, -0.681885, -0.704590, 2.746581, -0.244141, -0.427246,Sitting
1667379, -0.247314, -0.683716, -0.692627, 2.319336, 0.854492, -0.793457,Sitting
1667399, -0.214722, -0.669556, -0.698730, 1.831054, 0.671386, -1.098633,Sitting
1667419, -0.197144, -0.686768, -0.698608, 0.976562, -0.549316, -1.281738,Sitting
1667439, -0.200439, -0.684448, -0.696900, 0.183105, -3.417968, -2.502442,Sitting
1667459, -0.219849, -0.693970, -0.703736, 0.488281, -5.920409, -3.295898,Sitting
1667479, -0.236694, -0.685181, -0.705811, -0.793457, -5.798338, -1.831054,Sitting
1667499, -0.247314, -0.668335, -0.705933, 0.244141, -4.638672, -1.342773,Sitting
1667519, -0.252319, -0.671265, -0.706543, 0.427246, -3.601074, -0.488281,Sitting
1667539, -0.252808, -0.667847, -0.700806, 0.915527, -3.662109, -0.366211,Sitting
1667559, -0.253296, -0.667480, -0.692627, 0.549316, -3.234863, 1.281738,Sitting
1667579, -0.256958, -0.650513, -0.703003, 0.610352, -3.051757, 1.281738,Sitting
1667599, -0.263794, -0.648071, -0.718262, 1.831054, -2.319336, 0.061035,Sitting
1667619, -0.293335, -0.645630, -0.720337, 2.868652, 0.244141, -0.427246,Sitting
1667639, -0.264771, -0.662842, -0.701172, 3.112792, 1.098633, -0.976562,Sitting
1667659, -0.254150, -0.679566, -0.686524, 1.831054, 0.122070, -0.610352,Sitting
1667679, -0.239502, -0.678955, -0.685669, -0.305176, -1.037598, -0.793457,Sitting
1667699, -0.248901, -0.690308, -0.691528, 0.244141, -1.281738, -0.183105,Sitting
1667719, -0.237183, -0.687256, -0.688843, -1.403808, -1.403808, 0.305176,Sitting
1667739, -0.227417, -0.678101, -0.687378, -1.342773, -2.258301, 0.244141,Sitting
1667759, -0.223511, -0.664673, -0.701294, -1.525878, -3.356933, 0.244141,Sitting
1667779, -0.252808, -0.655152, -0.719604, 0.061035, -3.845214, -0.122070,Sitting
1667799, -0.276611, -0.651856, -0.713989, 1.525878, -2.502442, -0.061035,Sitting
1667819, -0.280640, -0.648316, -0.700684, 3.112792, -0.183105, 0.122070,Sitting
1667839, -0.248901, -0.656250, -0.697022, 4.333496, 2.014160, 0.671386,Sitting
1667859, -0.243408, -0.655884, -0.693360, 4.333496, 0.305176, 0.305176,Sitting
1667879, -0.268188, -0.657959, -0.690918, 4.333496, -2.685546, -0.305176,Sitting
1667899, -0.289673, -0.663574, -0.684326, 3.479003, -4.272462, 0.488281,Sitting
1667919, -0.300293, -0.670044, -0.681030, 1.342773, -2.929687, 0.854492,Sitting
1667939, -0.296265, -0.682495, -0.688110, 1.464844, -0.915527, 2.014160,Sitting
1667959, -0.270752, -0.690308, -0.696655, 0.122070, -0.061035, 2.746581,Sitting
1667979, -0.267944, -0.689087, -0.707154, 0.854492, -1.220704, 2.014160,Sitting
1667999, -0.270508, -0.687256, -0.701660, 1.647949, -0.854492, 2.197266,Sitting
1668019, -0.273071, -0.676880, -0.688110, 2.807617, 0.732422, 3.540038,Sitting
1668039, -0.261841, -0.672730, -0.677856, 3.540038, 3.295898, 5.004884,Sitting
1668059, -0.261353, -0.659912, -0.700806, 4.455568, 5.187988, 4.516602,Sitting
1668079, -0.272339, -0.663330, -0.709961, 5.249022, 6.408690, 3.540038,Sitting
1668099, -0.271362, -0.673950, -0.700440, 5.004884, 7.141112, 2.746581,Sitting
1668119, -0.251343, -0.689942, -0.684692, 4.577638, 7.324218, 2.136231,Sitting
1668139, -0.226563, -0.699707, -0.680176, 3.173828, 6.713866, 1.220704,Sitting
1668159, -0.211182, -0.703613, -0.684692, 1.892090, 4.821778, 1.403808,Sitting
1668179, -0.229614, -0.705688, -0.687134, 0.976562, 1.403808, -0.549316,Sitting
1668199, -0.236206, -0.705933, -0.675659, 0.488281, 0.488281, -0.427246,Sitting
1668219, -0.237183, -0.703613, -0.667114, -2.441407, 1.403808, 0.488281,Sitting
1668239, -0.213501, -0.688721, -0.678345, -1.708984, 0.793457, 0.854492,Sitting
1668259, -0.229492, -0.680664, -0.698730, -2.197266, -0.305176, 0.366211,Sitting
1668279, -0.249146, -0.666626, -0.700562, -0.915527, -1.403808, -1.220704,Sitting
1668299, -0.253418, -0.670776, -0.690308, -0.793457, -1.220704, -1.098633,Sitting
1668319, -0.242432, -0.671143, -0.686524, -0.732422, -0.976562, -0.671386,Sitting
1668339, -0.238281, -0.675049, -0.697266, -1.342773, -2.075196, -0.915527,Sitting
1668359, -0.262817, -0.691650, -0.714234, -0.976562, -3.784179, -0.976562,Sitting
1668379, -0.285645, -0.702759, -0.706299, -2.746581, -3.662109, 0.427246,Sitting
1668399, -0.294312, -0.693970, -0.702759, -3.417968, -3.662109, 1.586914,Sitting
1668419, -0.304566, -0.709717, -0.735596, -6.713866, -3.295898, 4.028321,Sitting
1668439, -0.330688, -0.698730, -0.748413, -9.643556, -0.854492, 6.835936,Sitting
1668459, -0.267578, -0.671631, -0.731323, -9.704590, 1.342773, 7.629394,Sitting
1668479, -0.230713, -0.645386, -0.697388, -6.530760, -1.464844, 6.347656,Sitting
1668499, -0.239014, -0.601685, -0.629395, -0.732422, -4.150392, 3.051757,Sitting
1668519, -0.252930, -0.593628, -0.619873, 2.014160, -4.333496, 1.342773,Sitting
1668539, -0.291504, -0.605713, -0.640625, 4.516602, -2.319336, -0.488281,Sitting
1668559, -0.323730, -0.640381, -0.688599, 5.432128, 4.455568, -0.732422,Sitting
1668579, -0.283936, -0.670288, -0.717896, 5.004884, 10.620116, -0.122070,Sitting
1668599, -0.214478, -0.689942, -0.721070, 5.004884, 10.437010, -1.037598,Sitting
1668619, -0.159180, -0.694946, -0.709229, 4.638672, 5.859374, -3.295898,Sitting
1668639, -0.138306, -0.690552, -0.700195, 5.310058, -0.122070, -4.882814,Sitting
1668659, -0.175293, -0.697632, -0.697754, 4.943848, -5.310058, -4.333496,Sitting
1668679, -0.240601, -0.702759, -0.686890, 3.173828, -8.178714, -1.220704,Sitting
1668699, -0.278687, -0.693360, -0.685059, 0.915527, -8.300784, 0.915527,Sitting
1668719, -0.307251, -0.679444, -0.705566, -0.244141, -2.990722, 0.488281,Sitting
1668739, -0.288330, -0.661743, -0.707764, -0.671386, 0.305176, 0.000000,Sitting
1668759, -0.277344, -0.654419, -0.701294, 0.183105, 0.488281, -0.915527,Sitting
