timestamp,ax,ay,az,gx,gy,gz,activity
2830143, 0.023682, -0.807739, -0.127930, -4.577638, -6.652830, -1.708984,Sit–Stand–Sit
2830163, 0.037231, -0.781250, -0.119263, -2.441407, -8.972170, -4.516602,Sit–Stand–Sit
2830183, 0.034424, -0.740479, -0.105591, -2.563476, -14.038084, -7.446288,Sit–Stand–Sit
2830203, 0.006714, -0.680298, -0.096802, -4.150392, -19.042970, -9.887696,Sit–Stand–Sit
2830223, 0.000854, -0.628784, -0.099731, -3.723144, -19.775390, -10.742184,Sit–Stand–Sit
2830243, 0.021484, -0.633789, -0.107666, -0.671386, -20.874020, -12.023924,Sit–Stand–Sit
2830263, 0.019165, -0.648804, -0.084229, -0.915527, -24.169920, -15.075680,Sit–Stand–Sit
2830283, -0.037476, -0.695801, -0.146118, 4.333496, -33.935560, -20.019532,Sit–Stand–Sit
2830303, -0.070313, -0.814331, -0.180054, 3.540038, -39.489750, -24.108880,Sit–Stand–Sit
2830323, -0.045410, -0.851562, -0.183594, -5.004884, -39.917000, -21.667476,Sit–Stand–Sit
2830343, -0.040649, -0.854370, -0.166138, -7.995604, -45.166000, -15.686032,Sit–Stand–Sit
2830363, -0.048340, -0.894654, -0.191772, -10.925290, -50.842280, -8.544924,Sit–Stand–Sit
2830383, -0.128174, -0.940796, -0.254761, -14.465330, -47.058100, -2.319336,Sit–Stand–Sit
2830403, -0.150269, -0.954956, -0.282593, -21.362300, -33.142100, 1.037598,Sit–Stand–Sit
2830423, -0.071411, -0.962646, -0.274414, -24.658200, -21.118160, 7.751464,Sit–Stand–Sit
2830443, -0.058594, -0.944580, -0.305542, -23.620600, -21.911620, 16.357424,Sit–Stand–Sit
2830463, -0.147583, -1.024048, -0.309448, -19.592290, -16.235352, 20.019532,Sit–Stand–Sit
2830483, -0.159912, -1.106690, -0.246826, -27.832030, 3.173828, 21.972650,Sit–Stand–Sit
2830503, -0.046997, -1.070801, -0.232544, -43.029780, 18.188480, 32.287600,Sit–Stand–Sit
2830523, -0.108154, -1.074219, -0.372803, -35.583500, 36.682140, 43.151840,Sit–Stand–Sit
2830543, -0.083496, -1.180908, -0.394898, -40.283200, 46.874990, 41.503900,Sit–Stand–Sit
2830563, 0.010254, -1.114258, -0.339722, -47.607410, 34.301760, 43.090810,Sit–Stand–Sit
2830583, -0.034180, -1.058838, -0.297852, -42.724600, 22.277830, 46.325680,Sit–Stand–Sit
2830603, -0.028076, -1.107178, -0.296509, -38.330080, 21.362300, 47.973620,Sit–Stand–Sit
2830643, 0.024414, -0.990479, -0.218384, -46.020500, 11.230468, 44.250480,Sit–Stand–Sit
2830663, 0.020142, -0.963135, -0.240845, -46.874990, -1.953124, 50.231920,Sit–Stand–Sit
2830683, -0.081421, -0.958130, -0.328369, -38.574220, -17.150880, 39.245610,Sit–Stand–Sit
2830703, -0.136475, -1.023316, -0.371704, -27.648920, -16.662600, 28.259270,Sit–Stand–Sit
2830723, -0.123779, -1.113770, -0.381226, -18.066410, -13.183590, 21.728510,Sit–Stand–Sit
2830743, -0.111450, -1.217530, -0.368774, -7.812498, -15.563964, 15.319820,Sit–Stand–Sit
2830763, -0.132568, -1.368896, -0.377319, -2.929687, -14.038084, 3.723144,Sit–Stand–Sit
2830783, -0.237549, -1.361938, -0.427368, -8.056642, -5.676268, -4.699708,Sit–Stand–Sit
2830803, -0.260864, -1.226074, -0.515137, -7.019042, 4.882814, -5.676268,Sit–Stand–Sit
2830823, -0.235107, -1.126831, -0.553589, -2.624511, 8.300784, -2.868652,Sit–Stand–Sit
2830843, -0.223145, -1.033204, -0.544190, -2.624511, 7.873534, 2.197266,Sit–Stand–Sit
2830863, -0.213623, -0.922730, -0.518555, -7.385252, 7.446288, 7.995604,Sit–Stand–Sit
2830883, -0.193726, -0.818237, -0.514648, -9.582520, 7.141112, 13.244628,Sit–Stand–Sit
2830903, -0.191406, -0.777344, -0.525146, -10.253904, 5.187988, 15.014646,Sit–Stand–Sit
2830923, -0.182251, -0.771362, -0.514648, -9.826660, -1.098633, 10.375976,Sit–Stand–Sit
2830943, -0.214600, -0.801392, -0.486450, -2.746581, -5.004884, 4.272462,Sit–Stand–Sit
2830963, -0.229370, -0.827393, -0.512085, 0.915527, -5.432128, -3.051757,Sit–Stand–Sit
2830983, -0.233154, -0.845215, -0.509522, 5.615234, -6.164550, -11.535644,Sit–Stand–Sit
2831003, -0.252075, -0.861328, -0.490723, 8.911134, -4.760742, -16.113284,Sit–Stand–Sit
2831023, -0.267578, -0.856690, -0.466553, 9.399414, -3.906249, -15.502928,Sit–Stand–Sit
2831043, -0.249634, -0.861816, -0.466187, 12.878416, -4.943848, -12.756344,Sit–Stand–Sit
2831063, -0.271484, -0.928467, -0.485230, 16.296390, -0.427246, -13.183590,Sit–Stand–Sit
2831083, -0.265381, -1.000122, -0.469849, 18.676760, 5.737304, -19.042970,Sit–Stand–Sit
2831103, -0.194702, -1.065308, -0.425171, 20.935052, 9.460450, -27.160640,Sit–Stand–Sit
2831123, -0.110962, -1.126465, -0.377686, 23.498530, 5.249022, -31.311030,Sit–Stand–Sit
2831143, -0.096313, -1.181885, -0.367188, 24.047850, -5.798338, -30.944820,Sit–Stand–Sit
2831163, -0.122437, -1.254394, -0.411255, 28.991692, -21.606440, -32.470710,Sit–Stand–Sit
2831183, -0.100464, -1.323242, -0.406006, 34.484870, -27.587884, -38.574220,Sit–Stand–Sit
2831203, -0.146484, -1.353028, -0.355713, 33.752440, -19.714360, -45.288080,Sit–Stand–Sit
2831223, -0.185669, -1.304322, -0.329956, 26.855464, -0.183105, -45.043940,Sit–Stand–Sit
2831243, -0.135742, -1.219727, -0.329224, 24.169920, 14.221190, -39.428720,Sit–Stand–Sit
2831263, -0.062012, -1.171997, -0.343018, 29.235832, 15.930172, -34.729010,Sit–Stand–Sit
2831283, -0.024292, -1.202393, -0.360352, 37.048340, 12.512204, -34.729010,Sit–Stand–Sit
2831303, -0.014282, -1.267822, -0.355347, 37.292480, 11.657712, -33.569340,Sit–Stand–Sit
2831323, 0.034546, -1.226685, -0.340332, 29.174800, 5.676268, -29.479976,Sit–Stand–Sit
2831343, 0.056885, -1.179078, -0.295166, 31.005852, -1.892090, -25.390620,Sit–Stand–Sit
2831363, 0.017578, -1.245362, -0.296997, 32.104500, -5.004884, -22.460930,Sit–Stand–Sit
