timestamp,ax,ay,az,gx,gy,gz,activity
61894, 0.124268, -1.577148, -0.208374, -42.114250, 38.391120, 25.512690,Stair-Down
61914, 0.153564, -1.502076, -0.199951, -37.719730, 14.343260, 23.315424,Stair-Down
61934, 0.113770, -1.328247, -0.197144, -38.330080, -5.615234, 31.921380,Stair-Down
61954, 0.050781, -1.101685, -0.208008, -54.504380, -35.888680, 49.011220,Stair-Down
61974, 0.018188, -0.926392, -0.224609, -32.958990, -30.700680, 54.382320,Stair-Down
61994, -0.071167, -0.775513, -0.231567, -24.780270, -24.963376, 60.180660,Stair-Down
62014, -0.121216, -0.688354, -0.230225, -13.549804, -4.272462, 58.410640,Stair-Down
62034, -0.145508, -0.629883, -0.227783, 4.516602, 26.000970, 34.179700,Stair-Down
62054, -0.103882, -0.706177, -0.214478, -4.089356, 39.367680, 41.259760,Stair-Down
62074, -0.057251, -0.598633, -0.205811, -13.977050, 41.748040, 29.602044,Stair-Down
62094, -0.033691, -0.538696, -0.195068, -11.779784, 37.780760, 27.465816,Stair-Down
62114, -0.028564, -0.545410, -0.203857, -2.563476, 26.672360, 14.343260,Stair-Down
62134, -0.004150, -0.594971, -0.194946, 0.793457, 15.075680, 2.868652,Stair-Down
62154, 0.017944, -0.621338, -0.179077, -2.197266, -1.037598, -6.896972,Stair-Down
62174, 0.025024, -0.598022, -0.162842, -7.080076, -20.751950, -11.840818,Stair-Down
62194, 0.020386, -0.578125, -0.140625, -7.629394, -40.771480, -13.427732,Stair-Down
62214, 0.016846, -0.582398, -0.098999, -6.347656, -57.861320, -14.038084,Stair-Down
62234, -0.003540, -0.611206, -0.095947, -2.563476, -70.617700, -13.977050,Stair-Down
62254, -0.059082, -0.689820, -0.111450, 5.432128, -81.909160, -16.418460,Stair-Down
62274, -0.076538, -0.836060, -0.110596, 14.648436, -91.979960, -24.963376,Stair-Down
62294, -0.079956, -1.053223, -0.105591, 26.672360, -99.548320, -36.071780,Stair-Down
62314, -0.100464, -1.328370, -0.048950, 30.090330, -106.018040, -51.879880,Stair-Down
62334, -0.070435, -1.398926, -0.086304, -3.601074, -111.938460, -63.781730,Stair-Down
62354, -0.074951, -1.150757, -0.148193, -5.737304, -121.398900, -59.875480,Stair-Down
62374, -0.157593, -1.050782, -0.194824, 20.141600, -132.141160, -53.588860,Stair-Down
62394, -0.224243, -1.197388, -0.178833, 41.381820, -131.774900, -56.823720,Stair-Down
62414, -0.318482, -1.503906, -0.145508, 58.471670, -117.980940, -69.396980,Stair-Down
62434, -0.528809, -1.776246, -0.235718, 36.926280, -83.435040, -87.097160,Stair-Down
62454, -0.474854, -1.551636, -0.390747, 5.493162, -41.748040, -98.510720,Stair-Down
62474, -0.277466, -1.249268, -0.432739, 7.995604, -17.883300, -96.069320,Stair-Down
62494, -0.291138, -1.094971, -0.319092, 10.742184, -17.944340, -81.665020,Stair-Down
62514, -0.438965, -1.024414, -0.272217, 15.563964, -10.864256, -67.565940,Stair-Down
62534, -0.457031, -1.049316, -0.298828, 17.028810, 4.333496, -63.049300,Stair-Down
62554, -0.279541, -1.058106, -0.380737, 12.268064, 14.770504, -66.467300,Stair-Down
62574, -0.225342, -0.990967, -0.325440, 3.845214, 2.990722, -53.344720,Stair-Down
62594, -0.274414, -0.903687, -0.268677, 6.347656, -5.493162, -31.860350,Stair-Down
62614, -0.375000, -0.928101, -0.262817, 7.019042, -3.540038, -13.549804,Stair-Down
62634, -0.444946, -0.876465, -0.291870, -2.929687, 14.953610, -4.577638,Stair-Down
62654, -0.337891, -0.750610, -0.317505, -7.324218, 24.780270, 0.793457,Stair-Down
62674, -0.261841, -0.657471, -0.322266, -4.699708, 22.949216, 10.192870,Stair-Down
62694, -0.267822, -0.632935, -0.289673, 1.953124, 15.014646, 16.967780,Stair-Down
62714, -0.278564, -0.662720, -0.250855, 2.075196, 14.160152, 27.770990,Stair-Down
62734, -0.288452, -0.695312, -0.229492, 0.305176, 13.427732, 37.536620,Stair-Down
62754, -0.303955, -0.739258, -0.215454, -0.793457, 13.916012, 43.945300,Stair-Down
62774, -0.160400, -0.782837, -0.187256, -7.263182, 9.338380, 53.283680,Stair-Down
62794, -0.098999, -0.795654, -0.172241, -6.042480, -3.295898, 58.349600,Stair-Down
62814, -0.134644, -0.827271, -0.161621, 0.793457, -12.695310, 62.927240,Stair-Down
62834, -0.174072, -0.882080, -0.163818, 8.544924, -8.483890, 66.345240,Stair-Down
62854, -0.188110, -0.912476, -0.170288, 12.207030, 4.211426, 71.167000,Stair-Down
62874, -0.177002, -0.895020, -0.149658, 5.615234, 18.676760, 88.562000,Stair-Down
62894, -0.189697, -0.778198, -0.129639, -4.455568, 28.625480, 89.355460,Stair-Down
62914, -0.135132, -0.731323, -0.114868, 25.024410, 41.625960, 85.083000,Stair-Down
62934, -0.156860, -0.968384, -0.085083, 23.498530, 26.306150, 84.838860,Stair-Down
