timestamp,ax,ay,az,gx,gy,gz,activity
141370, 0.096313, -1.293946, -0.132690, -27.709956, -2.258301, -5.310058,Stair-Up
141390, 0.152222, -1.158081, -0.180664, -19.042970, -16.113284, -4.577638,Stair-Up
141410, 0.182861, -1.224244, -0.146484, -13.549804, -25.634760, -3.234863,Stair-Up
141430, 0.135742, -1.386353, -0.103027, -13.671872, -30.029290, 5.065916,Stair-Up
141450, -0.021606, -1.430176, -0.192383, -30.822750, -33.386240, 7.934570,Stair-Up
141470, -0.045776, -1.318238, -0.254761, -39.611820, -38.818360, -0.549316,Stair-Up
141490, 0.097412, -1.228028, -0.232788, -40.344230, -63.964840, -8.239746,Stair-Up
141510, 0.054810, -1.070435, -0.290894, -35.339360, -87.341300, -13.671872,Stair-Up
141530, -0.068115, -0.938843, -0.342407, -26.672360, -91.003400, -14.038084,Stair-Up
141550, -0.083740, -0.838867, -0.363281, -21.484370, -81.726060, -9.094240,Stair-Up
141570, -0.148193, -0.780274, -0.377319, -11.047360, -66.162120, -10.009768,Stair-Up
141590, -0.139526, -0.877075, -0.345459, -3.051757, -39.672860, -13.244628,Stair-Up
141610, -0.081299, -0.900146, -0.307739, -4.455568, -33.874520, -17.578130,Stair-Up
141630, -0.034546, -0.820190, -0.260986, -6.896972, -33.874520, -18.127448,Stair-Up
141650, -0.006104, -0.711182, -0.239380, -3.479003, -37.597660, -14.526364,Stair-Up
141670, -0.040649, -0.635132, -0.229370, 0.671386, -41.259760, -11.779784,Stair-Up
141690, -0.110596, -0.593750, -0.227905, 5.371092, -39.733900, -12.756344,Stair-Up
141710, -0.116211, -0.577759, -0.229248, 6.408690, -36.743170, -13.732908,Stair-Up
141730, -0.048340, -0.548462, -0.216187, 5.310058, -46.936020, -14.892576,Stair-Up
141750, 0.040894, -0.528076, -0.226929, 12.634276, -83.068840, -19.958500,Stair-Up
141770, -0.089478, -0.572998, -0.195313, 25.085448, -107.421860, -27.404780,Stair-Up
141790, -0.176025, -0.710571, -0.169556, 23.132320, -106.689440, -21.240230,Stair-Up
141810, -0.206665, -0.727661, -0.190796, 17.395020, -105.651840, -32.348640,Stair-Up
141830, -0.254517, -0.823608, -0.173096, 19.836430, -82.519500, -18.249516,Stair-Up
141850, -0.240479, -0.876465, -0.179199, 10.070800, -61.462400, -19.836430,Stair-Up
141870, -0.265015, -0.926392, -0.184082, 15.014646, -47.058100, -22.827140,Stair-Up
141890, -0.255737, -1.021728, -0.180054, 8.605960, -37.231450, -26.977532,Stair-Up
141910, -0.192749, -0.993164, -0.182739, 3.234863, -39.978040, -29.357908,Stair-Up
141930, -0.204346, -0.960083, -0.182495, 5.615234, -43.029780, -32.836920,Stair-Up
141950, -0.229736, -0.986328, -0.202393, 10.498044, -38.696300, -33.752440,Stair-Up
141970, -0.255127, -1.027222, -0.231567, 8.239746, -33.264160, -36.376960,Stair-Up
141990, -0.271606, -0.991821, -0.249878, 5.249022, -28.381340, -35.644540,Stair-Up
142010, -0.232178, -0.934692, -0.266968, 7.812498, -27.709956, -35.522460,Stair-Up
142030, -0.267578, -0.977173, -0.249268, 13.793944, -27.099608, -31.677240,Stair-Up
