timestamp,ax,ay,az,gx,gy,gz,activity
1882671, -0.023926, -1.021728, -0.020874, 0.183105, 4.760742, -0.793457,Standing
1882691, -0.027710, -1.004883, -0.025391, -1.525878, 4.882814, -1.037598,Standing
1882711, -0.039307, -0.995850, -0.031860, -0.366211, 4.211426, -1.281738,Standing
1882731, -0.046143, -1.001831, -0.034668, 0.000000, 4.333496, -1.220704,Standing
1882751, -0.042725, -1.006958, -0.035400, 0.061035, 4.272462, -0.305176,Standing
1882771, -0.038208, -1.009766, -0.034546, -0.549316, 3.906249, 0.305176,Standing
1882791, -0.031860, -1.004272, -0.033691, -0.549316, 2.624511, 0.061035,Standing
1882811, -0.043213, -1.005005, -0.034668, -0.610352, 1.281738, -0.671386,Standing
1882831, -0.052002, -1.002930, -0.038086, -0.976562, 1.647949, -0.549316,Standing
1882851, -0.049194, -1.006714, -0.032959, -1.220704, 1.708984, -0.061035,Standing
1882871, -0.042969, -1.006958, -0.031006, -1.220704, 0.305176, 0.488281,Standing
1882891, -0.041626, -1.001343, -0.033325, -1.159668, -0.549316, 1.220704,Standing
1882911, -0.038818, -1.001343, -0.032959, -0.854492, -1.037598, 1.525878,Standing
1882931, -0.034912, -1.002442, -0.030151, -0.427246, -1.892090, 1.037598,Standing
1882951, -0.045166, -1.004883, -0.023438, -0.854492, -2.014160, 0.244141,Standing
1882971, -0.047607, -1.002198, -0.025146, -1.464844, -0.854492, 0.488281,Standing
1882991, -0.039673, -0.999024, -0.030640, -1.647949, -0.793457, 0.732422,Standing
1883011, -0.026611, -0.993896, -0.033447, -0.793457, -2.502442, 0.610352,Standing
1883031, -0.033325, -0.996826, -0.028809, 0.000000, -4.333496, 0.122070,Standing
1883051, -0.044678, -0.993042, -0.027588, -0.854492, -2.441407, 0.305176,Standing
1883071, -0.042969, -0.994751, -0.032837, -0.305176, -1.647949, -0.122070,Standing
1883091, -0.034546, -1.002320, -0.037231, 0.000000, -1.831054, -0.305176,Standing
1883111, -0.037354, -1.002564, -0.037964, -0.976562, -3.173828, -0.244141,Standing
1883131, -0.033203, -0.990723, -0.043335, -1.098633, -5.065916, -0.305176,Standing
1883151, -0.031006, -0.994263, -0.039917, -0.549316, -8.361816, -0.183105,Standing
1883171, -0.041626, -1.002442, -0.033447, 0.061035, -10.070800, -0.122070,Standing
1883191, -0.049805, -1.016602, -0.026001, -1.586914, -9.094240, -0.061035,Standing
1883211, -0.052246, -0.998779, -0.027100, -2.624511, -7.263182, 0.000000,Standing
1883231, -0.053101, -0.993408, -0.023804, -1.403808, -5.981444, -0.671386,Standing
1883251, -0.061279, -1.004394, -0.026855, -0.732422, -5.004884, -0.366211,Standing
1883271, -0.052124, -1.001709, -0.030151, -0.366211, -2.990722, -0.427246,Standing
1883291, -0.054199, -1.006226, -0.029297, 0.732422, -2.746581, -1.525878,Standing
1883311, -0.064941, -1.005494, -0.037354, 0.610352, -1.831054, -2.502442,Standing
1883331, -0.060425, -1.007568, -0.043701, 0.793457, -0.915527, -2.197266,Standing
1883351, -0.059814, -1.005127, -0.048340, 0.183105, -1.037598, -1.220704,Standing
1883371, -0.046021, -1.004517, -0.048828, 0.732422, -3.173828, -0.061035,Standing
1883391, -0.054688, -1.007080, -0.044556, 0.549316, -5.432128, 0.244141,Standing
1883411, -0.068359, -1.005127, -0.045898, 0.183105, -4.089356, 0.549316,Standing
1883431, -0.073730, -1.006226, -0.052368, 0.305176, -0.732422, 0.427246,Standing
1883451, -0.053101, -1.009522, -0.057007, 0.854492, 0.488281, -0.122070,Standing
1883471, -0.044678, -1.015259, -0.053589, 0.183105, -1.403808, -0.671386,Standing
1883491, -0.059570, -0.998535, -0.054321, -1.342773, -1.037598, -0.366211,Standing
1883511, -0.060547, -1.000000, -0.060181, -0.854492, 0.732422, 0.061035,Standing
1883531, -0.048584, -1.000366, -0.059570, -0.732422, 0.732422, -0.488281,Standing
1883551, -0.043091, -1.004639, -0.053467, 0.366211, -0.732422, -1.220704,Standing
1883571, -0.052124, -1.015625, -0.051392, 0.122070, -1.098633, -1.770019,Standing
1883591, -0.052612, -1.008545, -0.046021, -0.671386, -0.122070, -1.586914,Standing
1883611, -0.053833, -1.007202, -0.043945, -0.854492, 0.549316, -0.976562,Standing
1883631, -0.045532, -1.003296, -0.046997, -1.220704, 0.671386, -0.061035,Standing
1883651, -0.034790, -1.005249, -0.042358, -0.976562, -0.427246, 0.671386,Standing
1883671, -0.038696, -1.007324, -0.039917, -1.159668, -1.281738, 0.061035,Standing
1883691, -0.044312, -1.000244, -0.042114, -1.037598, -0.549316, -0.549316,Standing
1883711, -0.052856, -0.999024, -0.041870, -0.061035, 2.136231, -1.281738,Standing
1883731, -0.040283, -1.003296, -0.041138, 0.000000, 3.173828, -0.549316,Standing
1883751, -0.030273, -1.005127, -0.038940, -0.610352, 2.441407, -0.854492,Standing
1883771, -0.019897, -0.999268, -0.048828, 0.366211, 0.122070, -0.854492,Standing
1883791, -0.032959, -1.004272, -0.052124, -0.061035, -2.258301, -2.197266,Standing
1883811, -0.047974, -0.999268, -0.049072, 0.122070, -2.685546, -0.427246,Standing
1883831, -0.061157, -0.999146, -0.044067, 0.122070, -1.281738, 0.732422,Standing
1883851, -0.045898, -1.005860, -0.039429, 0.671386, -0.183105, 0.915527,Standing
1883871, -0.047607, -1.006470, -0.047729, 0.915527, -0.244141, -0.427246,Standing
1883891, -0.045410, -1.006714, -0.051147, 0.915527, 0.366211, -1.098633,Standing
1883911, -0.029297, -1.000610, -0.055420, 1.098633, -0.854492, -1.525878,Standing
1883931, -0.055908, -1.015870, -0.040894, 0.854492, -2.563476, -1.220704,Standing
1883951, -0.063721, -1.012818, -0.040894, 0.671386, -1.770019, -0.671386,Standing
1883971, -0.072388, -1.001587, -0.046631, -0.732422, 1.831054, 0.000000,Standing
1883991, -0.048340, -0.989868, -0.057495, 0.122070, 3.723144, 0.061035,Standing
1884011, -0.038574, -0.991455, -0.056396, 0.366211, 1.281738, -0.732422,Standing
1884031, -0.045654, -0.995117, -0.049072, 0.610352, -1.770019, -1.464844,Standing
1884051, -0.060059, -1.010986, -0.042847, 0.305176, -3.051757, -0.366211,Standing
1884071, -0.067505, -1.004272, -0.044312, -1.037598, -2.502442, 0.854492,Standing
1884091, -0.053955, -1.001709, -0.049072, 0.732422, -2.136231, 1.586914,Standing
1884111, -0.048218, -1.013794, -0.036133, 0.732422, -2.319336, 0.915527,Standing
1884131, -0.042969, -1.003174, -0.028198, 0.793457, -3.417968, 0.305176,Standing
1884151, -0.062744, -0.996948, -0.021729, -1.342773, -1.770019, 0.732422,Standing
1884171, -0.059814, -0.989990, -0.037109, -1.647949, 0.488281, 1.770019,Standing
1884191, -0.042480, -0.993042, -0.049438, -0.854492, 0.732422, 2.624511,Standing
1884211, -0.028931, -0.997803, -0.043945, -0.061035, -1.281738, 1.403808,Standing
1884231, -0.030029, -1.008301, -0.038086, 0.244141, -2.929687, -0.122070,Standing
1884251, -0.044922, -1.005616, -0.041382, -0.976562, -2.441407, -0.915527,Standing
1884271, -0.051758, -0.998779, -0.052368, -0.061035, -1.281738, -0.427246,Standing
1884291, -0.061035, -1.004150, -0.052856, 1.586914, -0.122070, 0.122070,Standing
1884311, -0.036499, -1.009766, -0.052612, 1.647949, 0.915527, 0.122070,Standing
1884331, -0.051025, -1.020752, -0.042847, 0.671386, 1.464844, -0.427246,Standing
1884351, -0.037354, -1.001343, -0.044189, -0.305176, 1.708984, -0.488281,Standing
1884371, -0.046021, -0.994629, -0.046509, -0.549316, -0.244141, -0.854492,Standing
1884391, -0.043579, -0.984497, -0.044678, -0.854492, -1.098633, -0.305176,Standing
1884411, -0.040161, -0.985230, -0.039307, -0.915527, -2.258301, 0.488281,Standing
1884431, -0.036621, -0.983398, -0.032349, -1.037598, -3.417968, 0.793457,Standing
1884451, -0.044434, -0.992066, -0.034424, 0.244141, -4.699708, 0.366211,Standing
1884471, -0.054199, -1.010986, -0.036621, 0.915527, -3.845214, -0.183105,Standing
1884491, -0.055176, -1.021484, -0.041138, 1.342773, -2.075196, -0.976562,Standing
1884511, -0.053711, -1.029786, -0.037476, 2.441407, -1.220704, -2.990722,Standing
1884531, -0.056396, -1.045166, -0.033936, 1.770019, -0.244141, -4.028321,Standing
1884551, -0.058350, -1.032349, -0.037109, -0.061035, 1.770019, -3.967285,Standing
1884571, -0.069092, -1.023560, -0.029663, -0.671386, 4.821778, -3.173828,Standing
1884591, -0.078491, -1.000122, -0.028076, -2.502442, 11.657712, -2.258301,Standing
1884611, -0.078369, -0.973511, -0.040894, -2.258301, 17.700200, -2.136231,Standing
1884631, -0.044556, -0.956787, -0.052612, -1.953124, 19.348150, -0.915527,Standing
