timestamp,ax,ay,az,gx,gy,gz,activity
101195, 0.398438, 0.916382, 0.025513, -0.061035, -3.234863, -5.187988,jumping
101215, 0.395630, 0.923462, 0.026733, -0.061035, -3.234863, -5.554198,jumping
101235, 0.393799, 0.914551, 0.028564, 0.122070, -2.624511, -6.042480,jumping
101255, 0.404297, 0.908692, 0.019897, -1.342773, -3.967285, -6.652830,jumping
101275, 0.395020, 0.923340, 0.015991, -2.258301, -4.821778, -6.286620,jumping
101295, 0.403198, 0.922486, 0.022217, -2.319336, -4.394532, -6.164550,jumping
101315, 0.405274, 0.917358, 0.023315, -2.502442, -5.371092, -6.713866,jumping
101335, 0.395142, 0.916260, 0.021973, -2.746581, -6.225584, -6.286620,jumping
101355, 0.395386, 0.923584, 0.019287, -3.356933, -6.286620, -5.126952,jumping
101375, 0.383545, 0.938477, 0.015869, -2.868652, -5.615234, -3.967285,jumping
101395, 0.373047, 0.931274, 0.017944, -1.342773, -3.417968, -2.929687,jumping
101415, 0.378052, 0.922241, 0.018066, -0.793457, -1.342773, -2.319336,jumping
101435, 0.373413, 0.918823, 0.018555, -0.915527, -0.488281, -1.464844,jumping
101455, 0.366089, 0.910156, 0.020752, -0.976562, 0.488281, -0.305176,jumping
101475, 0.358643, 0.891480, 0.015259, -0.244141, 1.403808, 0.122070,jumping
101495, 0.354248, 0.823730, 0.001831, 0.610352, 1.831054, 0.061035,jumping
101515, 0.352905, 0.772339, -0.023193, 1.098633, 2.380371, 0.488281,jumping
101535, 0.329590, 0.704224, -0.042969, 1.464844, 1.770019, 1.586914,jumping
101555, 0.290894, 0.656738, -0.057251, 0.427246, 2.807617, 3.234863,jumping
101575, 0.279053, 0.704956, -0.065063, -4.272462, 6.774902, 7.019042,jumping
101595, 0.304688, 0.919556, 0.067749, -15.991210, 7.690428, 12.817380,jumping
101615, 0.336426, 1.337646, 0.187134, -24.108880, 7.812498, 18.310550,jumping
101635, 0.460938, 1.607178, 0.151001, -13.061520, 8.239746, 16.601568,jumping
101655, 0.577148, 1.727173, 0.140625, -11.047360, 8.178714, 5.371092,jumping
101675, 0.607788, 2.017090, 0.192871, -9.765626, 5.798338, -9.155274,jumping
101695, 0.610474, 2.319947, 0.366089, 18.310550, 22.888180, -20.568840,jumping
101715, 0.556519, 2.051148, 0.326050, 45.349110, 49.316400, -25.390620,jumping
101735, 0.482910, 1.486572, 0.103394, 64.636240, 70.373540, -28.991692,jumping
101755, 0.426270, 0.785767, -0.122192, 71.044940, 80.627420, -27.648920,jumping
101775, 0.446167, 0.278442, -0.224365, 49.072260, 70.678720, -38.024910,jumping
